TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
MEM,Jason Williams,PG,65.0,65.0,34.4,14.8,0.3,2.7,3.0,8.0,1.71,0.11,3.3,1.6,2.4,5.8,15.2,0.382,2.0,6.6,0.295,1.2,1.6,0.79,3.8,8.6,0.449,0.9740000000000001,0.45
MEM,Will Solomon,PG,62.0,4.0,14.1,5.2,0.2,0.9,1.1,1.5,0.56,0.11,1.0,1.2,1.5,1.8,5.3,0.341,0.7,2.6,0.284,0.8,1.2,0.67,1.1,2.7,0.396,0.97,0.41
MEM,Lorenzen Wright,PF,43.0,33.0,29.1,12.0,3.0,6.4,9.4,1.0,0.7,0.53,1.7,2.9,0.6,5.2,11.3,0.45899999999999996,0.0,0.0,0.0,1.6,2.9,0.57,5.2,11.3,0.461,1.062,0.46
MEM,Shane Battier,SF,78.0,78.0,39.7,14.4,2.3,3.1,5.4,2.8,1.55,1.04,2.0,2.8,1.4,5.3,12.3,0.429,1.3,3.5,0.373,2.5,3.6,0.7,4.0,8.8,0.451,1.171,0.48
MEM,Elliot Perry,G,2.0,0.0,24.0,5.5,0.0,2.0,2.0,3.5,1.5,0.0,3.5,3.0,1.0,2.5,5.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,2.5,5.0,0.5,1.1,0.5
MEM,Brevin Knight,PG,53.0,11.0,21.7,7.0,0.2,1.8,2.1,5.7,1.49,0.13,2.1,2.5,2.7,2.7,6.3,0.42200000000000004,0.0,0.2,0.25,1.6,2.2,0.76,2.7,6.1,0.426,1.111,0.43
MEM,Isaac Austin,C,21.0,8.0,14.6,3.6,0.5,2.9,3.4,0.6,0.43,0.24,0.5,1.7,1.2,1.7,4.4,0.391,0.0,0.1,0.0,0.2,0.2,1.0,1.7,4.3,0.40399999999999997,0.826,0.39
MEM,Michael Dickerson,G,4.0,4.0,31.0,10.8,0.8,2.3,3.0,2.3,0.75,0.25,2.0,3.0,1.1,3.8,12.0,0.313,2.0,5.3,0.381,1.3,1.5,0.83,1.8,6.7,0.259,0.8959999999999999,0.4
MEM,Nick Anderson,F,15.0,0.0,14.6,4.0,0.1,2.1,2.2,0.9,0.4,0.4,0.9,1.1,1.0,1.4,5.1,0.276,0.9,3.2,0.271,0.3,0.6,0.56,0.5,1.9,0.28600000000000003,0.789,0.36
MEM,Grant Long,F,66.0,56.0,28.3,6.3,0.5,3.0,3.5,2.1,0.95,0.18,1.6,1.9,1.3,2.5,5.8,0.426,0.0,0.3,0.17600000000000002,1.3,1.9,0.7,2.5,5.5,0.43799999999999994,1.083,0.43
MEM,Eddie Gill,PG,23.0,5.0,16.7,5.0,0.3,0.9,1.2,2.1,0.48,0.13,1.5,1.7,1.4,1.7,4.0,0.424,0.3,1.0,0.318,1.3,1.7,0.79,1.4,3.0,0.457,1.261,0.46
MEM,Ike Fontaine,G,6.0,0.0,12.5,1.8,0.0,0.8,0.8,0.7,0.0,0.0,0.7,1.0,1.0,0.5,2.3,0.214,0.2,0.8,0.2,0.7,1.0,0.67,0.3,1.5,0.222,0.7859999999999999,0.25
MEM,Stromile Swift,PF,68.0,14.0,26.5,11.8,2.4,4.0,6.3,0.7,0.78,1.66,1.8,2.6,0.4,4.3,9.0,0.48,0.0,0.0,0.0,3.2,4.5,0.71,4.3,9.0,0.48200000000000004,1.314,0.48
MEM,Antonis Fotsis,F,28.0,1.0,11.4,3.9,0.9,1.3,2.2,0.4,0.32,0.39,0.8,0.8,0.5,1.5,3.7,0.40399999999999997,0.3,0.8,0.304,0.6,0.7,0.85,1.2,2.9,0.43200000000000005,1.038,0.44
NO,George Lynch,SF,45.0,18.0,19.8,3.8,1.6,2.6,4.1,1.2,0.89,0.31,0.9,1.7,1.3,1.6,4.4,0.369,0.0,0.1,0.16699999999999998,0.6,0.9,0.63,1.6,4.3,0.375,0.8690000000000001,0.37
NO,Baron Davis,PG,82.0,82.0,40.5,18.1,1.1,3.1,4.3,8.5,2.1,0.57,3.0,2.9,2.8,6.8,16.4,0.41700000000000004,2.1,5.8,0.35600000000000004,2.4,4.1,0.58,4.7,10.6,0.451,1.107,0.48
NO,Eldridge Recasner,G,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,Bryce Drew,PG,61.0,0.0,12.7,3.4,0.2,1.0,1.2,1.7,0.52,0.03,0.5,0.8,3.1,1.3,3.0,0.429,0.5,1.2,0.425,0.4,0.5,0.79,0.8,1.8,0.431,1.1540000000000001,0.51
NO,David Wesley,SG,67.0,63.0,37.1,14.2,0.7,1.5,2.1,3.5,1.1,0.22,1.8,2.2,2.0,5.4,13.6,0.4,1.3,3.8,0.332,2.1,2.8,0.73,4.1,9.8,0.42700000000000005,1.045,0.45
NO,Kirk Haston,F,15.0,0.0,5.1,1.7,0.3,1.0,1.3,0.3,0.0,0.07,0.2,0.6,1.7,0.7,2.6,0.282,0.0,0.2,0.0,0.3,0.5,0.5,0.7,2.4,0.306,0.667,0.28
NO,P.J. Brown,PF,80.0,80.0,32.0,8.4,3.4,6.4,9.8,1.3,0.74,0.98,1.1,2.8,1.3,3.1,6.6,0.474,0.0,0.0,0.0,2.1,2.5,0.86,3.1,6.6,0.474,1.2690000000000001,0.47
NO,Jerome Moiso,C,15.0,0.0,5.1,1.1,0.3,1.4,1.7,0.3,0.2,0.13,0.5,0.8,0.5,0.5,1.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3,0.4,0.8,0.4
